"","gene","clone_id","AASA_fold_clone","AASA_fdr_clone","log2FoldChange","fdr"
"1","MTNR1A","SB03039A2C05.f1",0.848068292,0.159151157,-0.237747650190036,0.798190199789512
"2","UCHL1","SB010016000F04",0.539086842,0.000101678,-0.891410398104502,3.99277300491575
"3","FOXP2","SB03037A2A04.f1",0.853171441,0.216254267,-0.229092421071583,0.665035314539348
"4","ALDH1A2","SB010014000H02",0.90780282,0.688638613,-0.139549125014622,0.162008629405557
"5","ZFAND5","SB02014A1G02.f2",0.993548034,0.952770647,-0.00933837729825576,0.0210116310826817
"6","GRIA2","SB02033B1H11.f1",1.172133021,0.15267493,0.229136305124597,0.816232270451931
"7","GRIA2","SB02035B1G08.f1",1.58761036,0.005270807,0.66685688183175,2.27812288596102
"8","GRIA2","SB03031A1A11.f1",1.094635299,0.19896845,0.130450285384635,0.701215783274687
"9","CYP19A1","SB03019B2H09.f1",1.264028652,0.430466699,0.338029165753798,0.366060440028994
"10","GRIN1","SB02031A2C07.f1",1.244735,0.010466912,0.315838629940211,1.98018142712439
"11","GRIN1","SB03033B1F12.f1",1.256712781,0.008276451,0.329654962586613,2.08215585180589
"12","GRIN1","SB03035B1F04.f1",1.014127859,0.895425918,0.0202395556119559,0.047970339166916
"13","SCAMP1","SB02022B1G01.f1",1.13964383,0.129316549,0.188583013004368,0.888345893685095
"14","SCAMP1","SB02027B1F02.f1",1.104735664,0.317760668,0.143701209564887,0.497899860205077
"15","RPL37","SB02020A1B08.f1",0.595603501,0.002445091,-0.747575860677737,2.61170497291565
"16","RPL17","SB02008A1B06.f1",0.68528114,0.004588221,-0.54523211254726,2.33835567168425
"17","RPL17","SB02008A1C04.f1",0.715627208,9.3527e-05,-0.482719855484586,4.02906299599074
"18","RPL17","SB02033A1H07.f1",0.71960514,0.000749858,-0.474722603370193,3.12502097081529
"19","PLP1","SB02013A1G02.f1",1.069132911,0.710084055,0.0964412151923852,0.148690239362608
"20","CHD1","SB02028B1A10.f1",1.275309621,0.04569649,0.350847548615972,1.34011715730815
"21","CHD1","SB03038A1E08.f1",1.120759467,0.354703513,0.164476685814002,0.450134510234119
"22","EGR1","SB03026B1F05.f1",0.837760867,0.291448496,-0.255389599443499,0.535438181485679
"23","FNDC9","SB010015000A05",0.909749265,0.596675184,-0.136459114394791,0.224262024290944
"24","FNDC9","SB03030B2C09.f1",0.739838097,0.149232271,-0.434718502809016,0.826137251918617
"25","SEM1","SB010012000C02",0.656252925,0.000102361,-0.607676146937674,3.98986547999118
"26","TUBB4B","SB02013B2F04.f1",0.95654149,0.802855741,-0.0641005480419866,0.0953624827611159
"27","TUBB4B","SB02031B2D09.f1",0.805338956,0.083945548,-0.312331973502288,1.07600233145331
"28","CKS1B","SB02015A2A04.f1",0.764419713,0.002951593,-0.387563111599947,2.52994352829896
"29","SPRYD7","SB02003A2B02.f2",0.806741658,0.032062918,-0.309821340085593,1.49399695566777
"30","IGF2","SB02046A1F05.f1",1.034634727,0.612029359,0.0491215208084492,0.213227744282755
"31","REEP5","SB03035B2E01.f1",0.660611489,0.000815159,-0.598126034468903,3.08875767213405
"32","LOC100190380","SB02005B2F05.f1",0.666079182,0.001109559,-0.586234403043633,2.95484959952195
"33","LOC100190380","SB02010A2G04.f1",0.635431025,9.8719e-05,-0.654192563348816,4.0055992525884
"34","LOC100190380","SB02020A2H02.f1",0.756222461,0.008212898,-0.403117394607338,2.08550357085493
"35","RAB1A","SB03024A2A08.f1",1.049398343,0.620541759,0.0695624170796658,0.207228987585009
"36","FMR1","SB03027A1E03.f1",0.748306359,0.022899585,-0.418299059903942,1.64017238813361
"37","FMR1","SB03051B2F08.f1",0.750547713,0.010915665,-0.413984306691661,1.96194980122529
"38","GPX1","SB010018000B02",0.626690239,0.007355198,-0.674175572250991,2.1334056316856
"39","OAZ2","SB03009B1H06.f1",0.969518856,0.787011267,-0.0446591375628741,0.104019050155673
"40","CYCS","SB02029A2B07.f1",0.822618047,0.018884691,-0.28170537214729,1.72389011690438
"41","HINT1","SB03013A2E02.f1",0.781656404,0.000834643,-0.355393519552575,3.07849924461633
"42","JMJD8","SB03005B2D09.f1",0.916613615,0.1418127,-0.1256143798198,0.848284874280305
"43","JMJD8","SB03008A1H04.f1",0.968852727,0.626065273,-0.0456507132247877,0.203380385278527
"44","PARK7","SB02004A1D08.f1",0.789102037,0.018820154,-0.341716230952947,1.72537682718525
"45","HSPH1","SB02004B1H07.f1",1.252960089,0.04658785,0.325340460694238,1.33172733150673
"46","HSPH1","SB03004B2F06.f1",1.212079275,0.057653893,0.277484060122053,1.23917136224031
"47","HSPH1","SB02037B1G01.f1",1.183694622,0.074357925,0.243296932190119,1.12867273796447
"48","MAPKAPK5","SB03029B2A05.f1",0.962242592,0.789716921,-0.0555274356592532,0.102528556404819
"49","RPL7","SB02011B1D09.f1",0.687964066,0.000910586,-0.539594883386568,3.04067903113027
"50","IER3IP1","SB02042A1H03.f1",0.773281752,0.000689993,-0.370933926336874,3.16115531517114
"51","SFT2D1","SB02012A1H02.f1",0.876755768,0.1089385,-0.189753078177312,0.962818608925267
"52","SFT2D1","SB03002A2E04.f1",0.946035621,0.278324612,-0.0800335886244432,0.555448387689774
"53","SFT2D1","SB03044A2C06.f1",0.931312421,0.493021866,-0.1026628748825,0.307133818912317
"54","TBL1X","SB02008B2E08.f1",1.040573665,0.678114059,0.0573791009389969,0.168697251519131
"55","NTPCR","SB03039A1A08.f1",0.776007474,0.029262959,-0.36585754730639,1.53368176117729
"56","UBLCP1","SB02035B2C03.f1",0.970046691,0.557121668,-0.0438739050587346,0.254049950300501
"57","UBLCP1","SB03020B2A10.f1",0.898303711,0.36499633,-0.154724801062136,0.437711502307256
"58","UCK2","SB03022B2E05.f1",0.972158024,0.801251067,-0.0407372523412232,0.0962313791368969
"59","DDT","SB02006B1A02.f1",0.793100235,0.04461108,-0.334424884192721,1.3505572626951
"60","ECHS1","SB03028A2G09.f1",0.818348388,0.062777993,-0.289212935537812,1.2021925727226
"61","PAK1","SB03050B1A05.f1",0.90927449,0.227020174,-0.137212216768203,0.64393554779553
"62","LYRM1","SB02022A1C10.f1",0.947819569,0.60846711,-0.0773156472447569,0.215762892095468
"63","MBNL2","SB03007A1G05.f1",1.015687219,0.88572419,0.0224561923942038,0.0527014941501828
"64","SMCO4","SB03031A1H05.f1",0.885055349,0.255098098,-0.176160414572056,0.593292779458356
"65","MZT1","SB02018B2H02.f1",0.695148016,0.003165781,-0.524607895161862,2.49951913172925
"66","EIF3I","SB02004B1G04.f1",1.118271993,0.509020161,0.161271132033568,0.293265016017564
"67","EIF3I","SB03034A1A12.f1",0.91641929,0.385682251,-0.12592026818013,0.41377034679671
"68","EIF3I","SB03037B2G02.f1",0.922970662,0.410687879,-0.11564330450255,0.386488114680061
"69","HPCAL1","SB02020A2E03.f1",0.925653691,0.713219733,-0.11145554689298,0.146776649492118
"70","C17H9orf16","SB02012B2G06.f1",0.791903358,0.006667937,-0.3366037169074,2.17600851212562
"71","C17H9orf16","SB02040A1F04.f1",1.108923281,0.097786296,0.149159558511857,1.00972200399148
"72","OAZ1","SB02017B2C05.f1",0.900816633,0.368225722,-0.150694628786854,0.433885877612319
"73","DNAJC6","SB03001A1A02.f1",1.225947695,0.017686392,0.293897427826539,1.75236075354059
"74","DNAJC6","SB03038A2A10.f1",1.258180578,0.038053789,0.331338997168673,1.41960209421887
"75","ERCC5","SB02015A1B11.f1",0.888661241,0.12467378,-0.17029452855341,0.904224872893921
"76","BIVM","SB03027B1G01.f1",1.008285031,0.954881451,0.0119035303875027,0.0200505429422828
"77","FARP1","SB03008A1C04.f1",1.040454174,0.783126629,0.0572134240844257,0.106168008274735
"78","MOSPD2","SB02018B1H06.f1",1.184864898,0.039404974,0.244722567902292,1.40444895471225
"79","MOSPD2","SB02025B1C07.f1",1.181368603,0.025866216,0.24045917536164,1.58726710010135
"80","TMEM39B","SB02005A2E04.f1",1.048253334,0.483580124,0.0679874187248391,0.315531557717213
"81","TRPM7","SB03051A2D02.f1",1.22148038,0.014776242,0.288630690535967,1.83043600479007
"82","CNTNAP2","SB02009B1A02.f1",1.147455359,0.467058175,0.198438027624191,0.330629021986441
"83","PRXL2A","SB02048A1A10.f1",0.686841257,0.004095732,-0.541951393518177,2.38766846871412
"84","ANTKMT","SB02017A2F01.f1",0.883232101,0.068114713,-0.179135487182631,1.16675906893073
"85","MEAF6","SB03049A1G12.f1",0.992878616,0.931466874,-0.0103107424902363,0.0308325854213283
"86","UQCR10","SB010008000G06",0.605162056,0.001539946,-0.724606562284399,2.81249450793834
"87","IFI6","SB02039A2D07.f1",0.798513005,0.379459344,-0.324612190574311,0.420834748417533
"88","LOC100190442","SB02025A2H05.f1",1.015002177,0.961356438,0.0214828217392552,0.0171155609725551
"89","INIP","SB020002000F11",0.922146795,0.300887688,-0.116931665749942,0.521595582758614
"90","CISD1","SB010024000G05",0.684466755,0.000510015,-0.546947624348524,3.29241705072279
"91","CISD1","SB02035B1F01.f1",1.06019801,0.450938446,0.0843337377759308,0.345882736141951
"92","CISD1","SB03030A1G01.f1",0.887592439,0.241700071,-0.172030716969005,0.616723222017241
"93","PCP4","SB03004A2F07.f1",0.650648243,0.01469611,-0.620050298397476,1.83279760600721
"94","UQCRH","SB02007A2A10.f1",0.685290085,0.009776999,-0.545213281118574,2.00979442923521
"95","UQCRH","SB02036B2D11.f1",0.759499657,0.020875816,-0.396878781699847,1.68035653968288
"96","NDUFA12","SB02008B2E04.f1",0.595753385,0.000116858,-0.747212851226597,3.93234155082052
"97","H3F3B","SB02025B2G12.f1",0.721076142,3.938e-05,-0.471776486065074,4.4047242881979
"98","H2AFV","SB02015A1B12.f1",0.79242484,0.013458153,-0.335653990047231,1.87101453869664
"99","LOC100228523","SB02019A1A08.f1",0.683966495,0.05339529,-0.548002440362832,1.27249705041012
"100","H3F3A","SB02008B2G06.f1",0.774195633,0.000685463,-0.369229925034214,3.16401598263888
"101","TAF13","SB02018A2D08.f1",0.766994428,0.001712073,-0.382711997897051,2.76647772165578
"102","NR2F2","SB02013B2B12.f1",1.143715457,0.30205178,0.193728171141065,0.519918600616852
"103","NR2F2","SB03021A1B11.f1",0.940959012,0.669723983,-0.0877962140932023,0.174104148580525
"104","RPS3A","SB02007A1H12.f1",0.619471349,7.8068e-05,-0.690890536672383,4.1075269465491
"105","VSNL1","SB02022B1A07.f1",0.954278747,0.621116275,-0.067517352582333,0.206827090863788
"106","LDHB","SB02003B1A03.f1",0.991261722,0.934108781,-0.0126620736205287,0.0296025453575895
"107","CALM2","SB02018A1E11.f1",0.887791869,0.337454935,-0.171706599343409,0.471784216277677
"108","EIF1","SB02007A1A05.f1",0.94897453,0.691921907,-0.0755587283320226,0.159942918943261
"109","GAPDH","SB02020B1G07.f1",0.81424827,0.040733909,-0.296459345498081,1.39004391115952
"110","GAPDH","SB02023A1H08.f1",0.837271134,0.194936808,-0.256233207673275,0.710106149584269
"111","FN3KRP","SB02022A2F10.f1",0.920945411,0.465181946,-0.118812451723465,0.332377148854867
"112","EMC2","SB02011A1A08.f1",0.625471842,7.255e-06,-0.676983157452872,5.13936258322625
"113","LHX9","SB02022B2C11.f1",0.847362749,0.325653031,-0.238948387254979,0.487244875295983
"114","LHX9","SB02023A1D03.f1",0.856568571,0.186415285,-0.223359351693286,0.729518480828597
"115","LHX9","SB03002A2B05.f1",0.898031299,0.437737147,-0.155162366930756,0.358786596972501
"116","LHX9","SB03027B2C12.f1",1.039159125,0.876932377,0.055416589055122,0.0570338951494227
"117","NRN1","SB02013A2A01.f1",1.122370745,0.204654029,0.166549310191731,0.688979701029737
"118","NRN1","SB03029A1E02.f1",1.226301336,0.215108033,0.294313532483156,0.667343371005232
"119","RPL27","SB02031A2C04.f1",0.627890341,5.711e-06,-0.671415475753954,5.24328783983523
"120","RPL27","SB02026B1C05.f1",0.537985954,6.583e-06,-0.894359588200397,5.18157614490792
"121","COX7A2","SB02020A2F07.f1",0.545222817,0.000118142,-0.875082156214623,3.92759568134
"122","MRPL33","SB02013B2G11.f1",0.655489884,0.000145849,-0.609354578995097,3.83609654423145
"123","PSMA5","SB02017A1C08.f1",0.952871575,0.580026424,-0.0696463094989054,0.236552221030189
"124","RRP7A","SB02044A1D04.f1",0.892574542,0.246401513,-0.163955436240823,0.608356629764375
"125","OLFM1","SB02047A1G09.f1",1.034042076,0.584400208,0.0482948912635827,0.233289638163415
"126","OLFM1","SB03039A2F08.f1",1.109272809,0.309691003,0.149614218330886,0.509071411382672
"127","OLFM1","SB02012B2A04.f1",0.959038155,0.748663325,-0.0603398813808936,0.125713441267909
"128","CNEP1R1","SB02024A1A05.f1",0.771474843,0.034522231,-0.374308982123614,1.46190114575867
"129","OST4","SB03039A1G11.f1",0.950553374,0.654567781,-0.0731604577629174,0.184045375255139
"130","LYRM4","SB02005A1A08.f1",0.830839247,0.00570135,-0.2673587273869,2.24402229728688
"131","NDUFC2","SB03043B2H01.f1",0.886123086,0.184729082,-0.174420986142895,0.733464727960491
"132","TALDO1","SB02044A1A08.f1",0.711952265,0.001244736,-0.490147580319882,2.90492274969355
"133","SELENOS","SB02007B2G10.f1",0.948138825,0.195267662,-0.0768297831521851,0.709369673649231
"134","SELENOK","SB02007A1D07.f1",0.530020332,1.3411e-05,-0.915880391224831,4.87253883748846
"135","SELENOK","SB03048A1D08.f1",0.569503925,7.255e-06,-0.812222309918817,5.13936258322625
"136","SELENOF","SB03033B2A11.f1",0.696989122,0.003771511,-0.520791954947352,2.42348462128164
"137","TEN1","SB03048B2D09.f1",0.835599396,0.134905536,-0.259116645311589,0.869970228201183
"138","PALM2AKAP2","SB02003B2F06.f1",0.957762358,0.793955097,-0.0622603590356049,0.1002040588784
"139","HBAD","SB02044B1A07.f1",0.96991114,0.885862189,-0.0440755164058276,0.0526338347856271
