"seqid"	"start"	"end"	"strand"	"type"	"Name"	"Dbxref"	"gene"	"interval_start"	"interval_stop"
"NC_044211.2"	746523	750045	"-"	"gene"	"RPL24"	GeneID:100190138	"RPL24"	746523	752045
"NC_044211.2"	1811961	1925221	"+"	"gene"	"ALCAM"	GeneID:100221881	"ALCAM"	1809961	1925221
"NC_044211.2"	2963480	3005403	"-"	"gene"	"LOC115497582"	GeneID:115497582	"LOC115497582"	2963480	3007403
"NC_044211.2"	3732483	3744730	"+"	"gene"	"TAGLN3"	GeneID:100219048	"TAGLN3"	3730483	3744730
"NC_044211.2"	3894155	3925245	"-"	"gene"	"LTN1"	GeneID:100221893	"LTN1"	3894155	3927245
"NC_044211.2"	3950556	3961302	"-"	"gene"	"CCT8"	GeneID:100227697	"CCT8"	3950556	3963302
"NC_044211.2"	4129854	4131514	"-"	"gene"	"ANAPC15"	GeneID:100232520	"ANAPC15"	4129854	4133514
"NC_044211.2"	4884600	4914685	"+"	"gene"	"MAP6"	GeneID:115491739	"MAP6"	4882600	4914685
"NC_044211.2"	5128164	5133407	"+"	"gene"	"ATP5PF"	GeneID:100190696	"ATP5PF"	5126164	5133407
"NC_044211.2"	5177865	5188628	"+"	"gene"	"MRPL39"	GeneID:100223911	"MRPL39"	5175865	5188628
"NC_044211.2"	7301695	7327044	"-"	"gene"	"CHODL"	GeneID:100223351	"CHODL"	7301695	7329044
"NC_044211.2"	7483969	7495279	"+"	"gene"	"LOC115492635"	GeneID:115492635	"LOC115492635"	7481969	7495279
"NC_044211.2"	7716748	8084419	"-"	"gene"	"LOC115492903"	GeneID:115492903	"LOC115492903"	7716748	8086419
"NC_044211.2"	8384109	8523857	"+"	"gene"	"NRIP1"	GeneID:100218466	"NRIP1"	8382109	8523857
"NC_044211.2"	10094934	10784281	"-"	"gene"	"ROBO1"	GeneID:100230036	"ROBO1"	10094934	10786281
"NC_044211.2"	11647336	11674234	"-"	"gene"	"LOC115493363"	GeneID:115493363	"LOC115493363"	11647336	11676234
"NC_044211.2"	12622403	13206603	"+"	"gene"	"CADM2"	GeneID:100220415	"CADM2"	12620403	13206603
"NC_044211.2"	14119989	14134289	"+"	"gene"	"POGLUT1"	GeneID:100217574	"POGLUT1"	14117989	14134289
"NC_044211.2"	14714802	14827950	"+"	"gene"	"POU2F1"	GeneID:100219507	"POU2F1"	14712802	14827950
"NC_044211.2"	14934350	14966336	"+"	"gene"	"MPZL1"	GeneID:100190167	"MPZL1"	14932350	14966336
"NC_044211.2"	14972488	14979511	"-"	"gene"	"MPC2"	GeneID:100222372	"MPC2"	14972488	14981511
"NC_044211.2"	16585521	16765004	"-"	"gene"	"EPHA3"	GeneID:100222368	"EPHA3"	16585521	16767004
"NC_044211.2"	17769294	17777157	"+"	"gene"	"ADAMTS1"	GeneID:100217580	"ADAMTS1"	17767294	17777157
"NC_044211.2"	17934652	17939468	"-"	"gene"	"RPS3"	GeneID:100190284	"RPS3"	17934652	17941468
"NC_044211.2"	17949488	18070638	"-"	"gene"	"FCHSD2"	GeneID:100224294	"FCHSD2"	17949488	18072638
"NC_044211.2"	18355326	18359989	"+"	"gene"	"MRPL48"	GeneID:100217522	"MRPL48"	18353326	18359989
"NC_044211.2"	18480167	18508856	"+"	"gene"	"SCAF4"	GeneID:100230939	"SCAF4"	18478167	18508856
"NC_044211.2"	18510903	18514080	"-"	"gene"	"SOD1"	GeneID:100190732	"SOD1"	18510903	18516080
"NC_044211.2"	19005939	19032484	"-"	"gene"	"PGM2L1"	GeneID:100230941	"PGM2L1"	19005939	19034484
"NC_044211.2"	19050832	19084535	"+"	"gene"	"POLD3"	GeneID:100221313	"POLD3"	19048832	19084535
